url,locale,content_type,category,role,title,h1,description_length,inbound_internal_links,outbound_internal_links,overlap_group,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_actual_date_start,gsc_actual_date_end,naver_top30_clicks,naver_top30_impressions,naver_top30_ctr,naver_top30_rank,naver_is_top30,naver_coverage_type,bing_clicks,bing_impressions,bing_ctr,bing_position,known_clicks,known_impressions,known_clicks_excluding_naver_total,known_impressions_excluding_naver_total,platform_observed_clicks,platform_observed_impressions,platform_count,query_count,top_queries,opportunity_type,opportunity_score,recommended_action,data_confidence,manual_review_required
/market/real-estate/seoul-top100,ko,market,realEstate,DATA_PAGE,서울 아파트 집값 Top 100 | 서울 실거래 순위,서울 아파트 집값 TOP 100,0,9,6,real-estate-loan,,,,,,,43,2837,0.015,4,true,CLICK_TOP_30,1,13,0.0769,5.38,44,2850,1,13,44,2850,2,,,NAVER_WINNER,75,Hold or low-risk refresh only,LIMITED,true
/posts/personalFinance/dsr-40-income-loan-limit-table,ko,post,personalFinance,SUPPORTING_ARTICLE,DSR 40% 연봉별 대출 한도표 | 연봉별 주담대 한도·대출 가능액,DSR 40% 연봉별 대출 한도표 | 연봉별 주담대 한도·대출 가능액,121,6,7,real-estate-loan,,,,,,,18,538,0.033,12,true,CLICK_TOP_30,0,3,0,6.67,18,541,0,3,18,541,2,,,NAVER_WINNER,72,Hold or low-risk refresh only,LIMITED,false
/market/real-estate/gangnam-top100,ko,market,realEstate,DATA_PAGE,강남 아파트값 순위 TOP 100 | 강남구 실거래 기반,강남 아파트값 순위 TOP 100,0,6,6,real-estate-loan,,,,,,,11,887,0.012,13,true,CLICK_TOP_30,0,3,0,8.33,11,890,0,3,11,890,2,,,NAVER_WINNER,70,Hold or low-risk refresh only,LIMITED,true
/market/real-estate,ko,market,realEstate,PRIMARY_HUB,서울·경기·인천 아파트 실거래 대시보드,서울·경기·인천 아파트 실거래 대시보드,79,21,5,real-estate-loan,,,,,,,4,62,0.065,24,true,CLICK_TOP_30,0,2,0,6,4,64,0,2,4,64,2,,,NAVER_WINNER,69,Hold or low-risk refresh only,LIMITED,false
/posts/investingInfo/why-check-cagr-etf,ko,post,investingInfo,SUPPORTING_ARTICLE,ETF CAGR 확인법: 총수익률보다 연평균 복리수익률이 중요한 이유,ETF CAGR 확인법: 총수익률보다 연평균 복리수익률이 중요한 이유,69,7,4,compound-goal,,,,,,,2,1283,0.002,30,true,CLICK_TOP_30,0,1,0,7,2,1284,0,1,2,1284,2,,,NAVER_WINNER,67,Hold or low-risk refresh only,LIMITED,false
/posts/personalFinance/what-is-cagr,ko,post,personalFinance,SUPPORTING_ARTICLE,CAGR 계산법: 단순 수익률과 다른 이유와 투자 예시,CAGR 계산법: 단순 수익률과 다른 이유와 투자 예시,72,12,8,dca-cagr,,,,,,,53,5084,0.01,3,true,CLICK_TOP_30,1,12,0.0833,7.42,54,5096,1,12,54,5096,2,,,NAVER_WINNER,63,Hold or low-risk refresh only,LIMITED,false
/posts/personalFinance/simple-vs-compound,ko,post,personalFinance,SUPPORTING_ARTICLE,단리 vs 복리 계산: 월 30만원 투자 예시로 보는 장기 차이,단리 vs 복리 계산: 월 30만원 투자 예시로 보는 장기 차이,65,8,8,compound-goal,,,,,,,3,253,0.012,26,true,CLICK_TOP_30,0,1,0,6,3,254,0,1,3,254,2,,,NAVER_WINNER,60,Hold or low-risk refresh only,LIMITED,false
/tools/dca-calculator,ko,tool,tools,PRIMARY_TOOL,ETF·주식 자동 적립식 시뮬레이터 (DCA),ETF·주식 자동 적립식 시뮬레이터 (DCA),79,37,0,dca-cagr,,,,,,,22,630,0.035,9,true,CLICK_TOP_30,1,4,0.25,3.75,23,634,1,4,23,634,2,,,NAVER_WINNER,56,Hold or low-risk refresh only,LIMITED,false
/tools/fire-calculator,ko,tool,tools,PRIMARY_TOOL,,,0,7,0,fire-retirement,,,,,,,6,118,0.051,18,true,CLICK_TOP_30,0,2,0,9,6,120,0,2,6,120,2,,,NAVER_WINNER,49,Hold or low-risk refresh only,LIMITED,true
/posts/investingInfo/bond-etf-duration-drives-returns,ko,post,investingInfo,SUPPORTING_ARTICLE,채권 ETF와 듀레이션: 금리 1%p 변화가 수익률을 얼마나 흔드는가,채권 ETF와 듀레이션: 금리 1%p 변화가 수익률을 얼마나 흔드는가,116,0,9,real-estate-loan,,,,,,,3,151,0.02,27,true,CLICK_TOP_30,,,,,3,151,,,3,151,1,,,NAVER_WINNER,26,Hold or low-risk refresh only,LIMITED,false
/tools/compound-interest,ko,tool,tools,PRIMARY_TOOL,복리 계산기 | 월복리·적립식 투자 미래가치 계산,복리 계산기,92,50,0,compound-goal,,,,,,,20,5298,0.004,11,true,CLICK_TOP_30,,,,,20,5298,,,20,5298,1,,,NAVER_WINNER,22,Hold or low-risk refresh only,LIMITED,false
/market/real-estate/gangnam3-top100,ko,market,realEstate,DATA_PAGE,강남3구 아파트 집값 TOP 100 | 강남·서초·송파 실거래 순위,강남3구 아파트 집값 TOP 100,0,6,6,real-estate-loan,,,,,,,31,471,0.066,8,true,CLICK_TOP_30,,,,,31,471,,,31,471,1,,,NAVER_WINNER,21,Hold or low-risk refresh only,LIMITED,true
/posts/investingInfo/cagr-7percent-reality-check,ko,post,investingInfo,SUPPORTING_ARTICLE,연 7% 복리 현실 체크: CAGR로 목표 자산 계산하는 법,연 7% 복리 현실 체크: CAGR로 목표 자산 계산하는 법,76,14,6,compound-goal,,,,,,,4,1533,0.003,22,true,CLICK_TOP_30,,,,,4,1533,,,4,1533,1,,,NAVER_WINNER,20,Hold or low-risk refresh only,LIMITED,false
/posts/personalFinance/dca-step-up-ruleset,ko,post,personalFinance,SUPPORTING_ARTICLE,DCA의 핵심은 ‘월 납입액 설계’다: 증액(스텝업)·감액·일시중단 조건을 운영규칙으로 만드는 법,DCA의 핵심은 ‘월 납입액 설계’다: 증액(스텝업)·감액·일시중단 조건을 운영규칙으로 만드는 법,140,1,9,compound-goal,,,,,,,3,39,0.077,29,true,CLICK_TOP_30,,,,,3,39,,,3,39,1,,,NAVER_WINNER,20,Hold or low-risk refresh only,LIMITED,false
/market/real-estate/gyeonggi-apartment-top100,ko,market,realEstate,DATA_PAGE,,,0,3,0,real-estate-loan,,,,,,,5,206,0.024,21,true,CLICK_TOP_30,,,,,5,206,,,5,206,1,,,NAVER_WINNER,19,Hold or low-risk refresh only,LIMITED,true
/posts/investingInfo/wti-impact-on-korea-kospi,ko,post,investingInfo,SUPPORTING_ARTICLE,WTI 유가가 한국 경제·코스피에 미치는 영향: 물가·환율·금리·기업이익으로 이어지는 5단 연결,WTI 유가가 한국 경제·코스피에 미치는 영향: 물가·환율·금리·기업이익으로 이어지는 5단 연결,116,11,13,real-estate-loan,,,,,,,6,100,0.06,19,true,CLICK_TOP_30,,,,,6,100,,,6,100,1,,,NAVER_WINNER,19,Hold or low-risk refresh only,LIMITED,false
/market/real-estate/seoul-apartment-top100,ko,market,realEstate,DATA_PAGE,,,0,4,0,real-estate-loan,,,,,,,3,328,0.009,25,true,CLICK_TOP_30,,,,,3,328,,,3,328,1,,,NAVER_WINNER,18,Hold or low-risk refresh only,LIMITED,true
/posts/personalFinance/compound-return-3-5-7-10-table,ko,post,personalFinance,SUPPORTING_ARTICLE,연 3% 5% 7% 10% 복리 결과 비교표 | 10년 20년 30년,연 3% 5% 7% 10% 복리 결과 비교표 | 10년 20년 30년,86,0,4,compound-goal,,,,,,,9,84,0.107,15,true,CLICK_TOP_30,,,,,9,84,,,9,84,1,,,NAVER_WINNER,13,Hold or low-risk refresh only,LIMITED,false
/tools/goal-simulator,ko,tool,tools,PRIMARY_TOOL,목표자산 도달 계산기 | 매달 얼마 투자해야 할까?,목표자산 도달 계산기 | 매달 얼마 투자해야 할까?,72,28,5,compound-goal,,,,,,,7,49,0.143,17,true,CLICK_TOP_30,,,,,7,49,,,7,49,1,,,NAVER_WINNER,13,Hold or low-risk refresh only,LIMITED,false
/posts/personalFinance/how-much-per-month-for-100m,ko,post,personalFinance,SUPPORTING_ARTICLE,1억 모으려면 월 얼마? 5년·10년·15년 필요 투자금,1억 모으려면 월 얼마? 5년·10년·15년 필요 투자금,99,8,7,compound-goal,,,,,,,3,148,0.02,28,true,CLICK_TOP_30,,,,,3,148,,,3,148,1,,,NAVER_WINNER,12,Hold or low-risk refresh only,LIMITED,false
/posts/investingInfo/usd-krw-weak-won-sector-map-kospi,ko,post,investingInfo,LOW_PRIORITY,환율 상승 수혜주·피해주 | 원화 약세 코스피 업종 체크,환율 상승 수혜주·피해주 | 원화 약세 코스피 업종 체크,86,7,9,macro-market,,,,,,,40,1365,0.029,5,true,CLICK_TOP_30,,,,,40,1365,,,40,1365,1,,,NAVER_WINNER,4,Hold or low-risk refresh only,LIMITED,false
/posts/investingInfo/dxy-dollar-index-basics,ko,post,investingInfo,LOW_PRIORITY,DXY(달러인덱스)란 무엇인가? 투자자가 꼭 알아야 할 의미 정리,DXY(달러인덱스)란 무엇인가? 투자자가 꼭 알아야 할 의미 정리,59,16,7,macro-market,,,,,,,5,2575,0.002,20,true,CLICK_TOP_30,,,,,5,2575,,,5,2575,1,,,NAVER_WINNER,1,Hold or low-risk refresh only,LIMITED,false
/posts/investingInfo/usd-krw-exchange-rate-and-kospi,ko,post,investingInfo,LOW_PRIORITY,원달러 환율과 코스피 관계: 외국인 수급·수출주·물가 체크법,원달러 환율과 코스피 관계: 외국인 수급·수출주·물가 체크법,93,22,20,macro-market,,,,,,,7,2985,0.002,16,true,CLICK_TOP_30,,,,,7,2985,,,7,2985,1,,,NAVER_WINNER,1,Hold or low-risk refresh only,LIMITED,false
/tools,ko,tool_hub,tools,PRIMARY_HUB,금융 계산기 모음,금융 계산기·도구,19,1,12,calculator-hub,,,,,,,4,142,0.028,23,true,CLICK_TOP_30,,,,,4,142,,,4,142,1,,,NAVER_WINNER,0,Hold or low-risk refresh only,LIMITED,false
/en/market/real-estate/magok-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Magok Apartment Prices Top 100 | Magok-dong (Gangseo-gu) Ranking,Magok Apartment Prices Top 100,0,7,7,real-estate-loan,,,,,,,,,,,false,,0,1,0,1,0,1,0,1,0,1,1,,,HOLD,100,Hold; avoid immediate content changes,VERY_LOW,true
/en/tools/dsr-ltv-calculator,en,tool,tools,EN_MAINTENANCE_ONLY,"Korean Mortgage Affordability Calculator: DSR, LTV & Apartment Budget",Korean Mortgage Affordability Calculator (DSR/LTV),198,9,12,real-estate-loan,0,2,0,2,2026-06-17,2026-07-19,,,,,false,,0,1,0,3,0,3,0,3,0,3,2,,,HOLD,100,Hold; avoid immediate content changes,VERY_LOW,false
/market/real-estate/mayongseong-top100,ko,market,realEstate,DATA_PAGE,마용성 아파트 집값 TOP 100 | 마포·용산·성수 실거래 순위,마용성 아파트 집값 TOP 100,0,5,6,real-estate-loan,,,,,,,,,,,false,,0,1,0,3,0,1,0,1,0,1,1,,,HOLD,100,Hold; avoid immediate content changes,VERY_LOW,true
/en/market/real-estate,en,market,realEstate,EN_MAINTENANCE_ONLY,"Seoul, Gyeonggi & Incheon Apartment Transaction Dashboard (KRW)","Seoul, Gyeonggi & Incheon Apartment Transaction Dashboard (KRW)",181,16,5,real-estate-loan,,,,,,,,,,,false,,0,8,0,3.63,0,8,0,8,0,8,1,,,HOLD,94,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/dca-step-up-ruleset,en,post,personalFinance,EN_MAINTENANCE_ONLY,Step-Up DCA: A Rulebook for Raising (or Pausing) Contributions Without Breaking Your Plan,Step-Up DCA: A Rulebook for Raising (or Pausing) Contributions Without Breaking Your Plan,193,2,7,dca-cagr,,,,,,,,,,,false,,0,1,0,1,0,1,0,1,0,1,1,,,HOLD,92,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/dsr-40-income-loan-limit-table,en,post,personalFinance,EN_MAINTENANCE_ONLY,Korea DSR 40% Rule Explained | Mortgage Borrowing Limit by Income,Korea DSR 40% Rule Explained | Mortgage Borrowing Limit by Income,124,3,6,real-estate-loan,0,4,0,6,2026-06-17,2026-07-19,,,,,false,,0,2,0,3,0,6,0,6,0,6,2,,,HOLD,91,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/dca-vs-lumpsum-decision-rules,en,post,personalFinance,EN_MAINTENANCE_ONLY,"DCA vs Lump Sum Without the Debate: A 3-Step Rule Based on Behavior Risk, Cash Buffers, and Time Horizon","DCA vs Lump Sum Without the Debate: A 3-Step Rule Based on Behavior Risk, Cash Buffers, and Time Horizon",230,4,10,dca-cagr,,,,,,,,,,,false,,0,1,0,3,0,1,0,1,0,1,1,,,HOLD,90,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/investingInfo/cagr-7percent-reality-check,en,post,investingInfo,EN_MAINTENANCE_ONLY,"7% Annual Return Reality Check: CAGR, Volatility, and Goal Planning","7% Annual Return Reality Check: CAGR, Volatility, and Goal Planning",139,14,5,compound-goal,0,3,0,3.67,2026-06-17,2026-07-19,,,,,false,,1,22,0.0455,3.64,1,25,1,25,1,25,2,,,HOLD,88,Hold; avoid immediate content changes,LIMITED,false
/posts/economicInfo/real-rates-and-breakevens,ko,post,economicInfo,SUPPORTING_ARTICLE,실질금리(Real Rate)와 기대인플레이션(Breakeven): 자산가격의 ‘진짜 온도계’,실질금리(Real Rate)와 기대인플레이션(Breakeven): 자산가격의 ‘진짜 온도계’,95,2,8,real-estate-loan,,,,,,,,,,,false,,0,3,0,4.33,0,3,0,3,0,3,1,,,HOLD,87,Hold; avoid immediate content changes,VERY_LOW,false
/posts/investingInfo/indicator-marketinfo,ko,post,investingInfo,SUPPORTING_ARTICLE,코스피에 가장 큰 영향을 끼치는 글로벌 시장 환경 총정리,코스피에 가장 큰 영향을 끼치는 글로벌 시장 환경 총정리,112,17,18,real-estate-loan,,,,,,,,,,,false,,0,3,0,4.67,0,3,0,3,0,3,1,,,HOLD,86,Hold; avoid immediate content changes,VERY_LOW,false
/en/market/real-estate/seoul-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Seoul Apartment Prices Top 100 | Official Transactions,Seoul Apartment Prices Top 100,0,8,6,real-estate-loan,,,,,,,,,,,false,,0,2,0,4,0,2,0,2,0,2,1,,,HOLD,85,Hold; avoid immediate content changes,VERY_LOW,true
/en/posts/economicInfo/hormuz-risk-oil-insurance-freight-premium,en,post,economicInfo,EN_MAINTENANCE_ONLY,"Middle East Oil Shipping Risk, Explained on One Page: Oil Often Reacts to Insurance and Freight Premia Before Any “Blockade”","Middle East Oil Shipping Risk, Explained on One Page: Oil Often Reacts to Insurance and Freight Premia Before Any “Blockade”",202,0,7,macro-market,,,,,,,,,,,false,,0,1,0,1,0,1,0,1,0,1,1,,,HOLD,84,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/investingInfo/modern-6040-risk-budget,en,post,investingInfo,EN_MAINTENANCE_ONLY,"The Modern 60/40: Build a Risk Budget with Stocks, Bonds, Cash, and Gold (or Commodities)","The Modern 60/40: Build a Risk Budget with Stocks, Bonds, Cash, and Gold (or Commodities)",326,6,11,compound-goal,0,4,0,4,2026-06-17,2026-07-19,,,,,false,,,,,,0,4,0,4,0,4,1,,,HOLD,83,Hold; avoid immediate content changes,VERY_LOW,false
/en/market/real-estate/gangnam-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Gangnam Apartment Prices Top 100 | Official Transactions,Gangnam Apartment Prices Top 100,0,7,6,real-estate-loan,0,12,0,6.75,2026-06-17,2026-07-19,,,,,false,,0,5,0,6.8,0,17,0,17,0,17,2,,,HOLD,82,Hold; avoid immediate content changes,LIMITED,true
/en/posts/economicInfo/war-theme-investing-price-chain-not-winners,en,post,economicInfo,EN_MAINTENANCE_ONLY,"The War-Theme Trap: Don’t Chase “Winners”—Read the Price Chain (Costs, Freight, FX, Demand)","The War-Theme Trap: Don’t Chase “Winners”—Read the Price Chain (Costs, Freight, FX, Demand)",204,0,7,macro-market,0,1,0,3,2026-06-17,2026-07-19,,,,,false,,,,,,0,1,0,1,0,1,1,,,HOLD,82,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/investingInfo/dca-consistency-7-fail-patterns,en,post,investingInfo,EN_MAINTENANCE_ONLY,"DCA Is a Consistency Game, Not a Return Hack: 7 Ways People Fail (and How to Fix Them)","DCA Is a Consistency Game, Not a Return Hack: 7 Ways People Fail (and How to Fix Them)",214,4,8,dca-cagr,,,,,,,,,,,false,,0,6,0,4.33,0,6,0,6,0,6,1,,,HOLD,81,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/dsr-pass-ltv-cash-bottleneck,en,post,personalFinance,EN_MAINTENANCE_ONLY,Passing DSR but Blocked by LTV Cash Costs | Korea Mortgage Check,Passing DSR but Blocked by LTV Cash Costs | Korea Mortgage Check,135,4,5,real-estate-loan,,,,,,,,,,,false,,0,1,0,4,0,1,0,1,0,1,1,,,HOLD,81,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/fire-sequence-risk-first-5-years,en,post,personalFinance,EN_MAINTENANCE_ONLY,"The First 5 Years of Retirement Decide FIRE: Sequence-of-Returns Risk, Withdrawal Rules, and a 10-Minute Stress Test","The First 5 Years of Retirement Decide FIRE: Sequence-of-Returns Risk, Withdrawal Rules, and a 10-Minute Stress Test",205,0,6,dca-cagr,,,,,,,,,,,false,,0,5,0,3.2,0,5,0,5,0,5,1,,,HOLD,81,Hold; avoid immediate content changes,VERY_LOW,false
/posts/economicInfo/policy-rate-cut-market-rates,ko,post,economicInfo,SUPPORTING_ARTICLE,금리 인하에도 대출금리가 안 내려가는 이유: 정책금리 vs 시장금리,금리 인하에도 대출금리가 안 내려가는 이유: 정책금리 vs 시장금리,66,17,15,real-estate-loan,,,,,,,,,,,false,,0,1,0,4,0,1,0,1,0,1,1,,,HOLD,81,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/personal-finance-3pillars,en,post,personalFinance,EN_MAINTENANCE_ONLY,"The Three Pillars of Personal Finance: Budgeting, Emergency Funds, and Long-Term Investing (A Practical Setup Guide)","The Three Pillars of Personal Finance: Budgeting, Emergency Funds, and Long-Term Investing (A Practical Setup Guide)",223,11,7,dca-cagr,,,,,,,,,,,false,,0,4,0,3.25,0,4,0,4,0,4,1,,,HOLD,79,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/how-much-per-month-for-100m,en,post,personalFinance,EN_MAINTENANCE_ONLY,"How Much Should You Invest Monthly to Reach $100,000? 5-, 10-, and 15-Year Plans","How Much Should You Invest Monthly to Reach $100,000? 5-, 10-, and 15-Year Plans",138,8,5,compound-goal,0,13,0,9.15,2026-06-17,2026-07-19,,,,,false,,0,2,0,2,0,15,0,15,0,15,2,,,HOLD,77,Hold; avoid immediate content changes,LIMITED,false
/en/posts/personalFinance/fire-assumption-errors-7-fixes,en,post,personalFinance,EN_MAINTENANCE_ONLY,"The 7 Most Common FIRE Modeling Mistakes: Fix Your Return, Inflation, and Tax Assumptions (Then Run Sensitivity Checks)","The 7 Most Common FIRE Modeling Mistakes: Fix Your Return, Inflation, and Tax Assumptions (Then Run Sensitivity Checks)",327,0,6,dca-cagr,,,,,,,,,,,false,,0,3,0,4.67,0,3,0,3,0,3,1,,,HOLD,76,Hold; avoid immediate content changes,VERY_LOW,false
/posts/personalFinance/cash-100m-200m-300m-apartment-budget,ko,post,personalFinance,SUPPORTING_ARTICLE,보유현금 1억 2억 3억 아파트 구매 가능 금액 | DSR LTV 계산기,보유현금 1억 2억 3억 아파트 구매 가능 금액 | DSR LTV 계산기,90,8,6,real-estate-loan,,,,,,,,,,,false,,1,4,0.25,4,1,4,1,4,1,4,1,,,HOLD,76,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/personalFinance/cash-100m-200m-300m-apartment-budget,en,post,personalFinance,EN_MAINTENANCE_ONLY,Cash KRW 100M 200M 300M Apartment Budget | Korea DSR LTV,Cash KRW 100M 200M 300M Apartment Budget | Korea DSR LTV,159,4,5,real-estate-loan,,,,,,,,,,,false,,0,1,0,10,0,1,0,1,0,1,1,,,HOLD,74,Hold; avoid immediate content changes,VERY_LOW,false
/posts/economicInfo/interest-rate-basics,ko,post,economicInfo,SUPPORTING_ARTICLE,"금리 구조 한 번에 이해: 기준금리, 시장금리, 예금·대출·채권","금리 구조 한 번에 이해: 기준금리, 시장금리, 예금·대출·채권",77,21,9,real-estate-loan,,,,,,,,,,,false,,0,5,0,6.6,0,5,0,5,0,5,1,,,HOLD,74,Hold; avoid immediate content changes,VERY_LOW,false
/en/posts/economicInfo/interest-rate-basics,en,post,economicInfo,EN_MAINTENANCE_ONLY,"How Interest Rates Work: Policy, Market, Deposit, Loan, and Bond Rates","How Interest Rates Work: Policy, Market, Deposit, Loan, and Bond Rates",139,18,7,real-estate-loan,,,,,,,,,,,false,,0,4,0,6,0,4,0,4,0,4,1,,,HOLD,73,Hold; avoid immediate content changes,VERY_LOW,false
/en/market/real-estate/gangnam3-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Gangnam 3 Districts Apartment Prices Top 100 | Official Transactions,Gangnam 3 Districts Apartment Prices Top 100,0,6,6,real-estate-loan,0,2,0,2.5,2026-06-17,2026-07-19,,,,,false,,0,1,0,8,0,3,0,3,0,3,2,,,HOLD,72,Hold; avoid immediate content changes,VERY_LOW,true
/en/posts/economicInfo/fx-basics,en,post,economicInfo,EN_MAINTENANCE_ONLY,Currency Basics: What Really Moves the USD/KRW Exchange Rate,Currency Basics: What Really Moves the USD/KRW Exchange Rate,168,19,16,real-estate-loan,,,,,,,,,,,false,,0,4,0,7.25,0,4,0,4,0,4,1,,,HOLD,72,Hold; avoid immediate content changes,VERY_LOW,false
