File,Change Type,First Stage,Latest Stage,Deploy Required,Generated,User Data,Review,Category,Tracked,Insertions,Deletions,Reason
pages/tools/home-buying-budget-calculator.js,M,P1-1B-1,P1-1B-1,DEPLOY_REQUIRED,no,no,PASS,A_RUNTIME_CODE,yes,36,3,P1-1B-1 role separation and mortgage calculator flow copy; no calculation core change.
public/en/sitemap.xml,M,GENERATED_BY_BUILD,GENERATED_BY_BUILD,POLICY_DEPENDENT_TRACK_IF_SITEMAPS_ARE_COMMITTED,yes,no,REVIEW_REQUIRED,B_GENERATED_SITEMAP,yes,4,4,"Generated by build/postbuild; URL counts stable, lastmod changed for edited content."
public/sitemap-0.xml,M,GENERATED_BY_BUILD,GENERATED_BY_BUILD,POLICY_DEPENDENT_TRACK_IF_SITEMAPS_ARE_COMMITTED,yes,no,REVIEW_REQUIRED,B_GENERATED_SITEMAP,yes,7,7,"Generated by build/postbuild; URL counts stable, lastmod changed for edited content."
public/sitemap-en.xml,M,GENERATED_BY_BUILD,GENERATED_BY_BUILD,POLICY_DEPENDENT_TRACK_IF_SITEMAPS_ARE_COMMITTED,yes,no,REVIEW_REQUIRED,B_GENERATED_SITEMAP,yes,4,4,"Generated by build/postbuild; URL counts stable, lastmod changed for edited content."
public/sitemap-ko.xml,M,GENERATED_BY_BUILD,GENERATED_BY_BUILD,POLICY_DEPENDENT_TRACK_IF_SITEMAPS_ARE_COMMITTED,yes,no,REVIEW_REQUIRED,B_GENERATED_SITEMAP,yes,3,3,"Generated by build/postbuild; URL counts stable, lastmod changed for edited content."
reports/compound-calculator-audit.md,M,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,yes,2,2,Audit or validation output.
reports/dsr-ltv-calculator-audit.md,M,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,yes,2,9,Audit or validation output.
reports/local-dev-p1-1b-1.err.log,??,P1-1B-1,P1-1B-1,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1b-1.out.log,??,P1-1B-1,P1-1B-1,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-cmdnext.err.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-cmdnext.out.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-cmdnext.pid,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/local-dev-p1-1c-2-next.err.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-next.out.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-nextdirect-dbskip.err.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-nextdirect-dbskip.out.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-nextdirect.err.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2-nextdirect.out.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2.err.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/local-dev-p1-1c-2.out.log,??,P1-1C,P1-1C,EXCLUDE_FROM_DEPLOY,no,no,LOCAL_ARTIFACT_ONLY,E_LOCAL_ONLY_TEMP,no,,,Local server log; exclude from deploy.
reports/mortgage-loan-calculator-p1-2-audit.md,M,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,yes,1,38,Audit or validation output.
reports/posts.linkcheck.json,M,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,yes,6,97,Audit or validation output.
reports/search-growth-90d-audit-data.json,??,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p0-1-baseline-audit.md,??,P0-1,P0-1,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p0-2a-snippet-hygiene-rendered.json,??,P0-2A,P0-2A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p0-2a-snippet-hygiene.md,??,P0-2A,P0-2A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p0-2b-internal-link-http-check.json,??,P0-2B,P0-2B,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p0-2b-internal-link-integrity.md,??,P0-2B,P0-2B,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p0-2b-internal-link-targets.json,??,P0-2B,P0-2B,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-2-execution-targets.json,??,P1-1A-2,P1-1A-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-2-naver-query-clusters.csv,??,P1-1A-2,P1-1A-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-2-priority-calibration.json,??,P1-1A-2,P1-1A-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-2-priority-calibration.md,??,P1-1A-2,P1-1A-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-2-unmatched-urls.csv,??,P1-1A-2,P1-1A-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-daily-merged.csv,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-data-readiness.md,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-input-diagnostics.json,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-naver-daily-normalized.csv,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-performance-merged.csv,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-priority.json,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-query-map.csv,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1a-search-performance-audit.md,??,P1-1A,P1-1A,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1b-1-ko-naver-low-risk-expansion.md,??,P1-1B-1,P1-1B-1,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1b-2-en-experiment-manifest.json,??,P1-1B-2,P1-1B-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1b-2-en-search-experiment.md,??,P1-1B-2,P1-1B-2,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1c-changed-files.csv,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1c-deploy-manifest.json,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1c-local-artifacts.csv,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1c-observation-baseline.json,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1c-predeploy-integrated-audit.md,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-p1-1c-verification.json,??,P1-1C,P1-1C,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-growth-90d-url-inventory.csv,??,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,no,,,Audit or validation output.
reports/search-performance-input/bing-daily-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/bing-pages-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/bing-pages-template.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/bing-queries-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/bing-queries-template.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/gsc-daily-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/gsc-filter-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/gsc-pages-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/gsc-pages-template.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/gsc-queries-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/gsc-queries-template.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/naver-daily-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/naver-pages-template.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/naver-pages-top30-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/naver-queries-template.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/naver-queries-top30-2026-04-23_2026-07-19.csv,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/search-performance-input/README.md,??,P1-1A,P1-1A,TRACK_BUT_NOT_RUNTIME_REQUIRED_OR_LOCAL_ONLY,no,yes,REVIEW_REQUIRED,D_SEARCH_PERFORMANCE_INPUT,no,,,Search performance source data for reproducible analysis; not runtime-required.
reports/seo-channel-split-url-check.md,M,VALIDATION_OUTPUT,VALIDATION_OUTPUT,TRACK_OPTIONAL_NOT_RUNTIME_REQUIRED,yes,no,REVIEW_REQUIRED,C_AUDIT_REPORT,yes,1,1,Audit or validation output.
scripts/analyze_search_performance_inputs.js,??,P1-1A,P1-1A,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
scripts/audit_search_growth_baseline.js,??,P1-1A,P1-1A,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
scripts/check_posts_links_local.js,M,P0-2B,P0-2B,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,yes,3,3,P0-2B local link checker registry handling update.
scripts/verify_internal_link_integrity.js,??,P0-2B,P0-2B,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
scripts/verify_naver_calculator_seo.js,M,UNKNOWN_ORIGIN,UNKNOWN_ORIGIN,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,yes,28,2,Classified by path and stage report review.
scripts/verify_search_growth_p1_1b_en_experiment.js,??,P1-1B-2,P1-1B-2,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
scripts/verify_search_growth_p1_1b_ko_expansion.js,??,P1-1B-1,P1-1B-1,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
scripts/verify_search_growth_p1_1c_predeploy.js,??,P1-1C,P1-1C,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
scripts/verify_search_snippet_hygiene.js,??,P0-2A,P0-2A,TRACK_RECOMMENDED_NOT_RUNTIME_REQUIRED,no,no,PASS,A_SCRIPT,no,,,Classified by path and stage report review.
